ages.i,tjja.central.degC,tjja+1sigma,tjja-1sigma,tdjf.Central.degC,tdjf+1sigma,tdjf-1sigma,tjja.GradientDifference.degC,tdjf.GradientDifference.degC
6100,18.59063694,19.06610864,18.11516524,-2.975308729,-2.499837031,-3.450780427,-0.979464746,-0.231228941
6150,18.58030064,19.05577234,18.10482894,-3.000065743,-2.524594045,-3.475537441,-0.956706682,-0.12035313
6200,18.55333338,19.02880508,18.07786168,-3.046973972,-2.571502274,-3.52244567,-1.043676151,-0.200890001
6250,18.50593054,18.98140224,18.03045884,-3.124240535,-2.648768837,-3.599712233,-1.181367003,-0.346149908
6300,18.45917738,18.93464908,17.98370568,-3.200888123,-2.725416425,-3.676359821,-1.275580464,-0.419305763
6350,18.45394651,18.92941821,17.97847481,-3.260642251,-2.785170553,-3.736113949,-1.306492735,-0.600520475
6400,18.4696194,18.9450911,17.9941477,-3.300839423,-2.825367725,-3.776311121,-1.246765705,-0.795401402
6450,18.49820229,18.97367399,18.02273059,-3.29304241,-2.817570712,-3.768514108,-1.175936062,-0.518872097
6500,18.51347125,18.98894295,18.03799955,-3.268848018,-2.79337632,-3.744319716,-1.136393793,-0.254099329
6550,18.52923783,19.00470953,18.05376613,-3.217490639,-2.742018941,-3.692962337,-1.108876233,-0.009397074
6600,18.54691405,19.02238575,18.07144235,-3.174466681,-2.698994983,-3.649938379,-1.059068792,0.055711546
6650,18.56250205,19.03797375,18.08703035,-3.133033612,-2.657561914,-3.60850531,-1.023529593,0.12495821
6700,18.58418551,19.05965721,18.10871381,-3.091017759,-2.615546061,-3.566489457,-0.993513797,0.196083246
6750,18.61413315,19.08960485,18.13866145,-3.062065038,-2.58659334,-3.537536736,-0.941494507,0.219219901
6800,18.62089571,19.09636741,18.14542401,-3.078638845,-2.603167147,-3.554110543,-0.8988297,0.35746696
6850,18.6036076,19.0790793,18.1281359,-3.092844582,-2.617372884,-3.56831628,-0.810325952,0.476230441
6900,18.57555191,19.05102361,18.10008021,-3.122708546,-2.647236848,-3.598180244,-0.784107589,0.463460044
6950,18.54949164,19.02496334,18.07401994,-3.169981479,-2.694509781,-3.645453177,-0.836616512,0.334870416
7000,18.52366828,18.99913998,18.04819658,-3.208350902,-2.732879204,-3.6838226,-0.868966713,0.2814499
7050,18.51131701,18.98678871,18.03584531,-3.214302972,-2.738831274,-3.68977467,-0.930211368,0.259313163
7100,18.50381835,18.97929005,18.02834665,-3.226079076,-2.750607378,-3.701550774,-1.001300207,0.144329203
7150,18.5384348,19.0139065,18.0629631,-3.227562944,-2.752091246,-3.703034642,-0.925416804,0.126351908
7200,18.55825038,19.03372208,18.08277868,-3.242676324,-2.767204626,-3.718148022,-0.809369987,0.251399934
7250,18.55925809,19.03472979,18.08378639,-3.240297502,-2.764825804,-3.7157692,-0.784428347,0.308669504
7300,18.5680959,19.0435676,18.0926242,-3.217550364,-2.742078666,-3.693022062,-0.762167389,0.44657395
7350,18.56630859,19.04178029,18.09083689,-3.232255267,-2.756783569,-3.707726965,-0.774537665,0.55710465
7400,18.58811592,19.06358762,18.11264422,-3.232889313,-2.757417615,-3.708361011,-0.71090558,0.591769916
7450,18.60662548,19.08209718,18.13115378,-3.26041359,-2.784941892,-3.735885288,-0.653934582,0.584682783
7500,18.58767281,19.06314451,18.11220111,-3.315112623,-2.839640925,-3.790584321,-0.69812771,0.524309337
7550,18.60788865,19.08336035,18.13241695,-3.468281411,-2.992809713,-3.943753109,-0.689059028,0.15722922
7600,18.60564908,19.08112078,18.13017738,-3.532371264,-3.056899566,-4.007842962,-0.705657396,0.062617839
