Age,Picea,P.diplo,P strobu,Pinus,Quercus,Betula,Tsuga,Fagus,Ambrosia,Artemisi,Aster,Poaceae,Abies,A.rubrum,A.sacch,A.sac,A.rugosa,A.crispa,Carya,Castanea,C.stolon,C.florida,Corylus,F.nigra,F.penn,Ilex,J.ciner,J.nigra,Juniper,Erica,Empetrum,Vaccinium,Andromeda,Rhododen,Larix,Liquidambar,Magnolia,Morus,Myrica,Nyssa,Os/Ca,Platanus,Populus,Prunus,Salix,Sambucus,S.argen,Spirea,Tilia,Ulmus,Viburnum,Sambucus nigra,Vitis,Achilea,Bidens,Chenopod,Petalosp,Hum.lu,Fabae.ud,Iva anua,Ran.ud,Thalictr,Rosa,Rumex,Urtica,Xanthium,San. officinalis,Apiaceae,Brasenia,Botrich,Botrioc,Cyperace,Dryopter,Equ,Glomus,Lyc.an,Lyc clav,Lyc.lu,Lyc.sel,Polypodi,T.latif,Nuphar,Nym,Nym.cell,Osmunda,Pediastr,Isoetes,Potamoge,Pteridiu,Tracheids,Sagitari,Sel.de-t,Sphagnum,SC0,Sporomie,Gelasino,Unknoun
7849.5,0,0,1,0.2,24.7,14.3,18.4,25.6,0,0.2,0,0,0,1.7,0,2.7,0,0,1.3,0,0,0,0,0,1.5,0.2,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.4,0,0,0,0,0,0,1.3,2.9,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0
7982.5,0,0.4,1.2,2.4,21.7,17.3,23.8,22.4,0.2,0.4,0.6,0,0,1.4,0.8,1,0.4,0,1,0,0,0,0,0,0.4,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.4,0.4,0,0,0,0,0,0,0.4,1,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0
8092,0,1.3,2.5,0.2,25.3,17.4,20.9,18,0.8,0,0,0,0,0.2,0.6,1.3,0.2,1,1.1,0.2,0,0,0,0.4,1.5,0.2,1.3,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0.6,1.7,0,0,0,0,0,0,0,1.5,1,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8601.5,0.4,0.6,1.3,0.6,18.2,21.1,22.2,21.2,0.6,0.2,0.8,0.2,0,0,0,2.4,0.8,0.2,1.1,0,0,0,0,0,0.6,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.9,0,0,0,0,0,0,1.5,2.1,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0
9102.5,0.4,3.2,10.2,1.2,42.1,9.6,14.6,6.8,0.2,0.2,0,0.2,0,0,0,0.8,0.2,0,0.6,0,0,0,0,0.6,1,0.2,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,3.8,0.4,0,0,0.2,0,0,0,0.2,2,0,0,0,0,0,0.2,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0
9616,0.4,0.9,15.4,0.4,42.3,6.5,19.6,2.4,0.9,0.2,0,0,0,0.7,0,0.2,0,0,0.4,0,0,0,0.2,0,0.4,1.3,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.4,0,0,0,0,0,0,0.4,1.3,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0.7,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0
10100.5,0,3,16.3,0.8,32.1,7.1,22,0.2,0.4,0.6,0,0.6,0,0.6,0.4,1,1.8,0,0.2,0,0,0,0.2,0.2,3.1,1.8,0.2,0,0,0,0,0,0,0,0,0,0,0.4,0,0,3.7,0.6,0,0,0.2,0,0,0,0.4,1.6,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0.4,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.8,0.2,0,0,0,0,0,0.2,0,0,0
10646,0.7,4.6,20.4,1.1,37.4,7.5,14.2,0.9,0.2,0,0.2,0.2,0,0.2,0,0.7,1.1,0.2,0.7,0,0,0,0,0,2.7,0.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,1.3,0,0,0.2,0,0,0,0,1.3,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0.4,0,0,0,0.2,0.4,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0
10842.5,1.4,5.8,20.1,5,35.8,6.2,12.5,0.4,0.2,0,0,0.2,0,0,0.4,0.2,0.8,0.2,0.4,0,0,0,0.2,0.2,2.6,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,4.4,0.2,0.2,0,0.2,0,0,0,0.6,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0.2,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0
11014.5,0.4,4.6,25.1,0.6,31.5,7.5,16.8,0,0,0,0,0.6,0,0.4,0,0,3.3,0,0.4,0.2,0,0,0.2,0.4,0.4,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0.6,0,0,0,0,0,0,0,1.9,0.2,0,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0.2,0.6,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.6,0,0,0,0,0,0.2,0.4,0,0,0.2
11201,0.6,1.8,38.8,3.1,24,5.3,13.8,0.4,0.2,0,0,0.2,0.4,0.2,0.2,0.6,1.2,0.8,0.2,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0.8,0.2,0,0,0,0,0,0,2.3,0,0,0.2,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
11381,0.6,6.5,29.6,4.9,32.5,5.9,6.9,0,0.6,0,0,0.2,0,0,0,0.6,2.2,0.2,0.2,0,0,0,0.6,0.6,1.2,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,4.3,0.2,0,0,0,0,0,0,0.4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0
