Age,Picea,P.diplo,P strobu,Pinus,Quercus,Betula,Tsuga,Fagus,Ambrosia,Artemisi,Aster,Poaceae,Abies,A.rubrum,A.sacch,A.sac,A.rugosa,A.crispa,Carya,Castanea,C.stolon,C.florida,Corylus,F.nigra,F.penn,Ilex,J.ciner,J.nigra,Juniper,Erica,Empetrum,Vaccinium,Andromeda,Rhododen,Larix,Liquidambar,Magnolia,Morus,Myrica,Nyssa,Os/Ca,Platanus,Populus,Prunus,Salix,Sambucus,S.argen,Spirea,Tilia,Ulmus,Viburnum,Sambucus nigra,Vitis,Achilea,Bidens,Chenopod,Petalosp,Hum.lu,Fabae.ud,Iva anua,Ran.ud,Thalictr,Rosa,Rumex,Urtica,Xanthium,San. officinalis,Apiaceae,Brasenia,Botrich,Botrioc,Cyperace,Dryopter,Equ,Glomus,Lyc.an,Lyc clav,Lyc.lu,Lyc.sel,Polypodi,T.latif,Nuphar,Nym,Nym.cell,Osmunda,Pediastr,Isoetes,Potamoge,Pteridiu,Tracheids,Sagitari,Sel.de-t,Sphagnum,SC0,Sporomie,Gelasino,Unknoun
2931,0.2,1.1,10.4,8.9,19.1,21.1,16.9,7.8,0,0,0,0,0,1.6,0.2,1.1,0.4,0,1.5,4.2,0,0,0.4,0.4,1.1,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.4,0,0,0,0,0,0,0.2,0.7,0,0,0.2,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0.3,0,0,8,0,0,0,0,0,0,0.8,0,0,0
3057,0.2,1.4,10.7,10.7,18.8,18,13.6,10.1,0.2,0,0,0.2,0,0.6,0.2,2.2,0.4,0.4,1.8,5.1,0,0,0.6,0,0.8,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0.2,0,0,0,0.2,0,0,0.4,1,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,2.6,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.5,0,0,9.2,0,0,0,0,0,0.2,0.5,0,0,0
3192.5,0,1.3,11.9,9.2,20,16.4,21.2,6.8,0.2,0.2,0,0,0,0.9,0.4,1.8,0.2,0.2,1.4,2.9,0,0,0,0,1.8,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.9,0.4,0,0,0,0,0,0.2,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,8,0.2,0,0,0,0,0,0.2,0,0,0
3314,0,1.4,13.5,9.3,19.1,19.5,15.9,7.7,0,0,0,0,0,1,0.2,1.2,0.4,0,2.1,2.3,0,0.2,0,0,1.2,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,1.4,1,0,0,0,0,0,0,0.2,1.7,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,0,0,0,0,0,0,0.5,0,0,0
3432,0.4,1.6,12.5,6.8,25.3,14.6,15.2,7.4,0.8,0.4,0,0,0,1.2,0,2.1,0.4,0.2,2.5,1.9,0,0,0.4,0,2.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0.2,0,0,0,0,0.4,1.9,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,6.3,0,0,0,0,0,0,0.2,0.2,0,0
3549,0.4,2.6,11.6,7.4,24.4,18.6,9.4,10.8,0.4,0.2,0.2,0.6,0,0.8,0,1,0.4,0.4,1,2,0,0,0.6,0.4,0.8,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,1.4,0.4,0,0,0,0,0,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,6.7,0,0,0,0,0,0,0.2,0.7,0,0
3628,0.2,0.8,9.3,6,25.2,17.5,14.5,10.7,0,0,0,0,0,1.6,0.2,0.8,0.2,0.2,1.6,3.2,0,0,0.6,0.2,2,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0,1,0.8,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,5.4,0,0.2,0,0,0,0,0,0,0,0
3782,0,0.6,11.8,6.8,22.1,17.1,12.8,8.6,0.2,0.4,0.2,0.2,0.2,1.1,0.2,3.2,0.6,0,2.6,2.3,0,0,0,0,1.9,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0,3.9,1.5,0.2,0,0,0,0,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,1.5,0.5,0,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0.2,0,6.1,0,0,0,0,0,0,0.2,0,0,0
3899,0.2,7.4,7.6,4.3,20.4,16,16.3,10.6,0.2,0,0,0.2,0,0,0.5,2.7,0.9,0,3,1.4,0,0,0.7,0,0.7,0,0.5,0,0,0.2,0,0,0.2,0,0,0,0,0,0.5,0.5,2.7,0.2,0,0,0,0,0,0,0.4,1.2,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0,0,0,0,0,0,0,0.5,0.2,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,4,0,0,0,0,0,0,0.2,0,0,0
4124,0.4,1.8,21,2.9,25,10.4,14.5,8.3,0,0.2,0,0.4,0,1,0.2,3.5,0.2,0,1.8,0.8,0,0,0.4,0.2,1.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0.6,0.4,2.8,0,0,0,0,0,0,0,0.4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.2,0,0,0,0,0,0,0,0.2,0,0,0.6,0,0,0,2.8,0,0,0,0,0,0.2,0,0,0,0
4240,0.2,0.4,20.6,7.4,24.8,11.9,7,8.7,0.4,0.2,0,0,0.2,1.3,0.2,2.4,0.2,0.2,4.3,2.6,0,0,0.4,0,1.5,0.4,0.4,0.2,0,0.6,0,0,0,0,0,0,0,0,0,0,1.3,0.9,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,0,0,0,0,0.3,0,0.2,0
4344,0.2,7.1,6.3,8.3,32.1,12.9,3.5,10,0.6,0.2,0.2,0,0,1,0.2,2.7,0.2,0,3.5,3,0,0,0.2,0.5,1.7,0.2,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.3,2.9,1,0,0,0,0,0,0,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,1.7,0.1,0,0,0,0,0,0,0,0.4,0,0,0.3,0,0,0,7.4,0,0,0,0,0,0.1,0.3,0,0,0
4477.5,0.2,3.8,11.9,8.6,32.5,11.4,4.8,8.4,0.2,0,0,0,0.2,0.3,0,2.6,1.2,0,4.1,0.6,0,0,0.5,0,1.2,0.8,0.2,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0.3,3.2,0.3,0,0,0.2,0,0,0,0.5,1.8,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0.2,0,0,2,0,0,0,0,0,0,0,0.1,0.3,0,0,0.1,0,0,0,7.7,0,0,0,0,0,0,0.5,0,0,0
4551.5,0.2,3.4,8.3,7.3,32.6,13.7,5.3,11.3,0.6,0.6,0,0.2,0,0.6,0.6,2.6,1.5,0,2.8,2.4,0,0,0.2,0,1.1,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0.4,1.1,0.2,0,0,0,0,0,0,0.6,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0.8,0,0,0.2,0,0,0,6.6,0,0,0,0,0,0.3,0.2,0,0,0
4692,0,1.1,2.9,0,30.6,23,5.9,18.2,0.7,0.4,0,0,0,0.7,0.4,2.9,1.8,0.2,2.3,0.5,0.2,0,0,0,0.7,0.7,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,2.5,1.1,0,0,0,0,0.2,0,1.1,1.1,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
4813,0.2,1.9,0.6,0,19.1,34.5,8.1,21.2,0.2,0.6,0,0,0,0.6,0.2,2.1,0.4,0,2.3,0.4,0,0,0,0.2,1.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.3,0,0,0,0,0,0,0.6,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0.4,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0
4922,0,3.8,0.4,0.2,17.9,26.9,7.5,28.5,0.7,0,0,0,0,0.4,0.2,3.1,0.9,0,2.2,0.2,0,0,0,0,1.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.7,0,0,0,0,0,0,2.2,1.3,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0.4,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0.6,0,0,0.6,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
5034.5,0,1.6,1.2,0,18.7,31.6,10.1,23.5,0.6,0.2,0.2,0.2,0,0.6,0.6,2.6,0.4,0.6,1.2,0,0.2,0,0.2,0.4,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.8,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
5137.5,0,0,2.4,0,17.1,19.6,24,19.6,0.4,0.8,0,0.2,0,0.4,0.2,2.8,0.2,0,3,0.4,0,0,0.2,0,1.6,0.4,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,2.4,1,0,0,0,0,0,0,1.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0
5303.5,0.2,0.9,5.6,4.7,23.6,14.6,23,11.6,0.6,0,0,0.2,0,2.2,0.2,1.3,0.2,0.2,1.7,1.9,0,0,0.2,0.4,1.5,0.4,0.4,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0.4,0.4,0.9,0,0,0,0,0,0,0.7,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,4.4,0,0,0,0,0,0,0.2,0,0,0
5503.5,0,0,1.5,1.4,14.9,15.5,33.3,18.2,0.2,0.4,0,0,0,1.2,0,1.7,1.2,0.4,1.4,0.4,0,0,0,0.2,2.3,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1.2,1.2,0,0.2,0,0,0,0,0.2,1.9,0.4,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0
5672,0,0.8,3.5,1.6,20.7,20.5,20.1,14.6,0.4,0,0.2,0,0,0.8,0.2,3.3,0.6,0.2,1.8,0.6,0,0,0.4,0.2,1.6,0.6,0,0.2,0,0.2,0,0,0,0,0,0.4,0,0,0.2,1.2,2.2,0.6,0,0,0,0,0,0,0.4,1.4,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0,1.7,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0.4,0,0,0
5840,0.2,0.2,2.4,0.6,17,8.7,39.5,20.9,0.2,0,0.2,0,0,0.8,0,1.6,0.2,0.2,2.6,0.2,0,0,0,0,1.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.4,0,0,0,0,0,0,1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0
6016,0,0.2,1.9,1.1,22.9,17,21.7,21,0.6,0.4,0,0,0,1,0.4,2.3,0.4,0,0.6,0.2,0,0,0,0,1.9,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.2,0,0,0,0,0,0,1.5,1.1,0,0,0,0,0,0.2,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,1.1,0,0,0,0,0,0,0.2,0,0,0
6125,0.6,0.6,1,0,27.7,11,25.3,17.2,0.2,0.4,0.2,0,0,0,0.4,3,0.6,0,0.4,0,0,0,0.2,0.4,1.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8,3.6,1.4,0,0,0,0,0,0,0.6,1.6,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0
6272,0,0,2.2,0.8,12,9.8,40.2,25.1,0.6,0,0.2,0,0,1,0,1.6,0.2,0.2,2.4,0,0,0,0.2,0,0.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0,0,0,0,0,0,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0
6493,0,0,0.8,0.6,14.6,15.2,33.7,20.4,0.2,0.2,0,0.2,0,0,0,1.9,0.8,0.2,1.9,0.2,0,0,0.2,0.2,3.1,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.8,0,0,0,0,0,0,0.8,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.1,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0.4,0,0,0
