Age,LakeElev.cm.below.mod,UpperBound,LowerBound,Lake_Level_Below_Modern
5150,-307.5636739,-217.8950197,-397.232328,307.5636739
5200,-307.9884116,-218.1341707,-397.8426525,307.9884116
5250,-308.4145147,-218.3734051,-398.4556244,308.4145147
5300,-308.8390601,-218.6098377,-399.0682825,308.8390601
5350,-299.8459747,-208.409758,-391.2821913,299.8459747
5400,-291.0414119,-198.1942836,-383.8885403,291.0414119
5450,-263.4419348,-167.0596311,-359.8242385,263.4419348
5500,-245.4251333,-146.3221608,-344.5281058,245.4251333
5550,-246.6545413,-146.488184,-346.8208986,246.6545413
5600,-266.9207692,-167.5374932,-366.3040452,266.9207692
5650,-297.0273233,-199.0713602,-394.9832864,297.0273233
5700,-317.8197966,-220.1742095,-415.4653837,317.8197966
5750,-328.8615869,-230.7910105,-426.9321633,328.8615869
5800,-330.2002513,-230.9283763,-429.4721264,330.2002513
5850,-331.6992118,-231.084493,-432.3139305,331.6992118
5900,-343.0738254,-241.7370873,-444.4105636,343.0738254
5950,-354.5202475,-252.3956242,-456.6448707,354.5202475
6000,-345.8838973,-242.02071,-449.7470847,345.8838973
6050,-337.1637029,-231.6395984,-442.6878073,337.1637029
6100,-338.6481174,-231.7951587,-445.5010762,338.6481174
6150,-350.2851074,-242.4809219,-458.089293,350.2851074
6200,-372.4017269,-263.7291776,-481.0742763,372.4017269
6250,-384.3686264,-274.4477159,-494.2895369,384.3686264
6300,-396.4052551,-285.1721555,-507.6383548,396.4052551
6350,-408.6528718,-295.9219289,-521.3838146,408.6528718
6400,-420.9540475,-306.6779676,-535.2301274,420.9540475
6450,-433.1321734,-317.4404762,-548.8238706,433.1321734
6500,-434.4613536,-317.6345756,-551.2881316,434.4613536
6550,-435.4451649,-317.8286749,-553.0616549,435.4451649
6600,-436.2719562,-318.0228875,-554.5210249,436.2719562
6650,-437.1210209,-318.2174535,-556.0245882,437.1210209
6700,-437.9717503,-318.4123731,-557.5311275,437.9717503
6750,-428.0254258,-307.9807767,-548.070075,428.0254258
6800,-418.0554734,-297.5427809,-538.5681659,418.0554734
6850,-408.0615446,-287.0984401,-529.0246492,408.0615446
6900,-408.8437145,-287.2745108,-530.4129182,408.8437145
6950,-420.5209769,-298.1034737,-542.93848,420.5209769
7000,-432.2258808,-308.938428,-555.5133337,432.2258808
7050,-433.0032941,-309.1135913,-556.8929969,433.0032941
7100,-422.8847767,-298.6354382,-547.1341152,422.8847767
7150,-412.7466791,-288.1508676,-537.3424905,412.7466791
7200,-413.5359982,-288.325768,-538.7462284,413.5359982
7250,-425.3672614,-299.1925306,-551.5419923,425.3672614
7300,-437.2207631,-310.0658871,-564.3756392,437.2207631
7350,-449.1050147,-320.9457312,-577.2642983,449.1050147
7400,-449.9665666,-321.1403594,-578.7927738,449.9665666
7450,-450.8262191,-321.3349877,-580.3174505,450.8262191
7500,-451.6815065,-321.5296159,-581.833397,451.6815065
