,AbsDepth,Adjust.Depth,Section,Bottom.increment.cm,Depth.predict,_2.5,_10,Age.bchron062722B,_90,_975,LOI
736,1335,750,9,53,1335,13510.075,15652.25,16692,17740.25,20187.05,3.901637844
737,1336,751,9,54,1336,13514.025,15664,16708,17767.75,20257.55,4.067057709
738,1337,752,9,55,1337,13524.85,15678.5,16729,17788.75,20374.9,4.137325521
739,1338,753,9,56,1338,13528.85,15709,16753,17819.5,20392.075,4.063477383
740,1339,754,9,57,1339,13531.875,15723.5,16770.5,17840.75,20409.275,4.000697593
741,1340,755,9,58,1340,13535.875,15739,16796,17867.5,20426.25,3.972845168
742,1341,756,9,59,1341,13538.9,15769.75,16822,17899.25,20443.025,4.103422308
743,1342,757,9,60,1342,13542.9,15807.75,16847.5,17933.5,20460.8,4.130065363
744,1343,758,9,61,1343,13545.925,15819,16868,17953,20477.575,3.224966567
745,1344,759,9,62,1344,13587.05,15827,16894,17981,20494.375,3.733423049
746,1345,760,9,63,1345,13633.925,15846,16912.5,18001.25,20518.125,3.925525839
747,1346,761,9,64,1346,13635.975,15876.75,16930.5,18019.75,20529.575,3.686051296
748,1347,762,9,65,1347,13637.025,15881,16962.5,18041,20546.875,3.765290199
749,1348,763,9,66,1348,13638.1,15901.25,16978,18059.25,20564.825,3.73203092
750,1349,764,9,67,1349,13640.125,15907.75,16996,18100.75,20581.55,3.936358702
751,1350,765,9,68,1350,13641.25,15924.25,17023,18114.75,20598.275,3.731030392
752,1351,766,9,69,1351,13642.575,15940,17047.5,18136.75,20615,3.748808753
753,1352,767,9,70,1352,13643.925,15965.25,17066.5,18153.25,20631.725,3.552860022
754,1353,768,9,71,1353,13646.25,15988.25,17085.5,18186,20668.75,3.77311791
755,1354,769,9,72,1354,13647.575,16003.25,17113.5,18204.75,20707.125,3.552334503
756,1355,770,9,73,1355,13648.925,16021,17123.5,18232,20745.5,3.632352204
757,1356,771,9,74,1356,13660.75,16036,17137.5,18272,20779.1,3.811144015
758,1357,772,9,75,1357,13674.425,16059.75,17161.5,18288.75,20809.025,3.865697059
759,1358,773,9,76,1358,13689.075,16079.75,17177,18316,20828.175,3.806791382
760,1359,774,9,77,1359,13694.95,16104.5,17196,18345,20835.275,3.760027659
761,1360,775,9,78,1360,13697.925,16118.5,17219,18369.5,20848.125,3.678506199
762,1361,776,9,79,1361,13699.9,16127.75,17247,18408.75,20887.675,3.764718283
763,1362,777,9,80,1362,13702.85,16133.75,17259.5,18437.25,20927.2,3.777240429
764,1363,778,9,81,1363,13705.825,16155.25,17271,18477.5,20966.025,3.410685899
765,1364,779,9,82,1364,13708.775,16171,17293,18491.25,21005.05,2.41007974
766,1365,780,9,83,1365,13710.75,16187,17321,18512,21025.075,2.340287201
767,1366,781,9,84,1366,13713.7,16203.75,17332.5,18530.5,21046.725,1.304498938
768,1367,782,9,85,1367,13716.675,16217.75,17344.5,18548.5,21072.225,1.337559509
769,1368,783,9,86,1368,13719.625,16232.75,17365.5,18598.25,21103.175,1.456558211
770,1369,784,9,87,1369,13722.575,16240.5,17403,18620,21153.35,1.444266842
771,1370,785,9,88,1370,13724.575,16263.75,17423.5,18650.5,21176.425,1.323634672
