,AbsDepth,Adjust.Depth,Section,Bottom.increment.cm,Depth.predict,_2.5,_10,Age.bchron062722B,_90,_975,LOI
491,1075,490,6,87,1075,10564.775,10810.75,10988.5,11223.25,11899.25,22.98948126
492,1076,491,6,88,1076,10570.975,10825.75,11014.5,11254.25,11922.075,22.96036345
493,1077,492,6,89,1077,10575.975,10841.75,11044,11276.5,11935.05,23.01195625
494,1078,493,6,90,1078,10581,10861.25,11076,11315.75,11942.05,22.78045423
495,1079,494,6,91,1079,10611.45,10879.5,11101.5,11338.75,11953.2,22.80473215
496,1080,495,6,92,1080,10614.85,10902.25,11127,11372,11973.1,22.53144617
497,1081,496,6,93,1081,10632,10921.75,11152.5,11398.25,11985.075,22.23414721
498,1082,497,6,94,1082,10643.9,10939.75,11177.5,11429.25,11997.4,21.79104478
499,1083,498,6,95,1083,10670,10961,11201,11450.25,12016.15,21.75100731
500,1084,499,6,96,1084,10691.75,10985,11229,11468,12031.15,24.3863984
501,1085,500,6,1,1085,10697.75,11007,11255.5,11496,12055.25,27.2230332
502,1086,501,7,2,1086,10704.725,11028,11277.5,11519.25,12094.225,26.76124068
503,1087,502,7,3,1087,10711.9,11046,11303,11546.25,12128.1,22.04408378
504,1088,503,7,4,1088,10739.925,11064.75,11328.5,11571.25,12142.225,21.93963674
505,1089,504,7,5,1089,10745.925,11085,11351.5,11596.5,12157.15,21.65503135
506,1090,505,7,6,1090,10751.925,11107.25,11381,11624.25,12173.05,21.39610062
507,1091,506,7,7,1091,10756.95,11128.75,11406,11648.25,12187.025,21.73270931
508,1092,507,7,8,1092,10767.95,11156.5,11424,11671,12201.05,21.43525012
509,1093,508,7,9,1093,10772.95,11189.5,11450.5,11686.25,12211.1,22.22688965
510,1094,509,7,10,1094,10785.925,11217,11476,11707,12226.2,21.55250075
511,1095,510,7,11,1095,10797.975,11248.75,11500,11729.75,12243.075,21.46454717
512,1096,511,7,12,1096,10812.85,11272.75,11530,11754.5,12254.25,20.76177375
513,1097,512,7,13,1097,10827.875,11295.75,11553,11779,12262.2,21.61817324
514,1098,513,7,14,1098,10841.825,11322.75,11578,11804.25,12272.1,22.6565952
515,1099,514,7,15,1099,10852.95,11349,11600.5,11824,12283.025,23.17983125
516,1100,515,7,16,1100,10862.9,11374.25,11632,11851.25,12296.025,24.62335809
517,1101,516,7,17,1101,10872.85,11395,11654.5,11873.25,12305.075,23.73180204
518,1102,517,7,18,1102,10893.925,11417,11681,11896.75,12320.025,23.33340798
519,1103,518,7,19,1103,10945.45,11446.5,11714,11916.25,12328.025,21.645061
520,1104,519,7,20,1104,10965.225,11466.25,11741.5,11936.25,12340.2,20.03737395
521,1105,520,7,21,1105,10983.9,11499.75,11765,11959.5,12353.075,21.45952541
522,1106,521,7,22,1106,11024.775,11524.5,11787.5,11984,12362.15,21.64130856
523,1107,522,7,23,1107,11034.95,11550,11810,12004.25,12374,22.64163654
524,1108,523,7,24,1108,11063.65,11578.5,11835.5,12019.25,12379.15,22.87607864
525,1109,524,7,25,1109,11085.55,11607.75,11860.5,12040.25,12388.2,24.99128008
526,1110,525,7,26,1110,11113.9,11631.5,11888.5,12070,12397.275,27.20757388
527,1111,526,7,27,1111,11119.975,11661.75,11912,12099,12417.05,29.98009384
528,1112,527,7,28,1112,11135.9,11689.75,11930,12125.25,12430.125,29.16042727
529,1113,528,7,29,1113,11148.95,11715.75,11955,12148.25,12442.025,28.00911689
530,1114,529,7,30,1114,11162,11734.75,11982,12169.5,12450.075,26.98721692
531,1115,530,7,31,1115,11214.925,11762.25,12006.5,12194,12459.125,23.18645696
532,1116,531,7,32,1116,11238.75,11792.5,12032.5,12214,12476,21.76427466
533,1117,532,7,33,1117,11285.575,11825.75,12056,12232.25,12487.1,20.07429662
534,1118,533,7,34,1118,11319.95,11856.5,12081.5,12251,12498,19.02508472
535,1119,534,7,35,1119,11366.775,11888.25,12108,12271,12510.075,18.56385379
536,1120,535,7,36,1120,11392.725,11924,12131,12284,12522.025,18.31806357
537,1121,536,7,37,1121,11413.95,11963,12159.5,12306.5,12539.05,18.68779031
538,1122,537,7,38,1122,11479.4,11995.5,12187,12326,12556.025,19.00161344
