Depth.Correct,DepthCM.Vania,Depth.predict,_2.5,_10,Age.bchron062722B,_90,_975,Abies,A.rubrum,A.sacch,A.sac,A.rugosa,A.crispa,Betula,Carya,Castanea,C.stolon,C.florida,Corylus,Fagus,F.nigra,F.penn,Ilex,J.ciner,J.nigra,Juniper,Erica,Empetrum,Vaccinium,Andromeda,Rhododen,Larix,Liquidam,Magnolia,Morus,Myrica,Nyssa,Os/Ca,Picea,P.diplo,P.strobu,Pinus,Platanus,Populus,Prunus,Quercus,Salix,Sambucus,S.argen,Spirea,Tilia,Tsuga,Ulmus,Viburnum,Sambucus nigra,Vitis,Achilea,Ambrosia,Artemisi,Aster,Bidens,Chenopod,Petalosp,Hum.lu,Fabae.ud,Iva anua,Ran.ud,Thalictr,Rosa,Rumex,Urtica,Xanthium,Poaceae,San. officinalis,Apiaceae,Brasenia,Botrich,Botrioc,Cyperace,Dryopter,Equ,Glomus,Lyc.an,Lyc clav,Lyc.lu,Lyc.sel,Polypodi,T.latif,Nuphar,Nym,Nym.cell,Osmunda,Pediastr,Isoetes,Potamoge,Pteridiu,Tracheids,Sagitari,Sel.de-t,Sphagnum,sp.tri,Sporomie,Gelasino,Unknoun
783,783,783,3303.775,3645,3771.5,3867,4162.075,1,6,1,17,3,0,91,14,12,0,0,0,46,0,10,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,21,0,3,63,36,8,1,0,118,0,0,0,0,2,68,3,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,9,3,0,0,0,0,0,0,0,1,0,0,1,1,1,0,36,0,0,0,0,0,0,1,0,0,0
786,786,786,3351.975,3755,3896,3976,4206.075,0,0,3,15,5,0,90,17,8,0,0,4,60,0,4,0,3,0,0,1,0,0,1,0,0,0,0,0,3,3,15,1,42,43,24,1,0,0,115,0,0,0,0,2,92,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,24,0,0,0,0,0,0,1,0,0,0
792,792,792,3511,4039,4125,4194,4292.075,0,5,1,18,1,0,53,9,4,0,0,2,42,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,14,2,9,107,15,0,0,0,127,0,0,0,0,2,74,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,15,0,0,0,0,0,1,0,0,0,0
795,795,795,3914.925,4193,4241,4297,4366.025,1,7,1,13,1,1,64,23,14,0,0,2,47,0,8,2,2,1,0,3,0,0,0,0,0,0,0,0,0,0,7,1,2,111,40,5,0,0,134,0,0,0,0,0,38,8,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,1,0
797,798,797,4185.95,4285.75,4335,4392,4628.025,0,6,1,17,1,0,81,22,19,0,0,1,63,3,11,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,18,1,45,40,52,6,0,0,202,0,0,0,0,1,22,5,0,0,0,0,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,3,0,0,2,0,0,0,52,0,0,0,0,0,1,2,0,0,0
804,804,804,4265.975,4391,4473.5,4622,5194.275,1,2,0,17,8,0,76,27,4,0,0,3,56,0,8,5,1,0,0,1,0,0,0,0,0,1,0,0,0,2,21,1,25,79,57,2,0,0,216,1,0,0,0,3,32,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,57,0,0,0,0,0,0,4,0,0,0
808,810,808,4300.975,4432.75,4544,4738,5327.75,0,3,3,14,8,0,73,15,13,0,0,1,60,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,6,1,18,44,39,1,0,0,174,0,0,0,0,3,28,12,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,39,0,0,0,0,0,2,1,0,0,0
816,816,816,4350.975,4540.75,4688,4928.25,5551.375,0,4,2,16,10,1,128,13,3,1,0,0,101,0,4,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,14,0,6,16,0,6,0,0,170,0,0,1,0,6,33,6,0,0,0,0,4,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
822,822,822,4397.925,4618.75,4808.5,5044.5,5697.15,0,3,1,10,2,0,163,11,2,0,0,0,100,1,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,9,3,0,6,0,0,90,0,0,0,0,3,38,11,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
828,828,828,4436.95,4715,4909.5,5171.25,5784.175,0,2,1,14,4,0,122,10,1,0,0,0,129,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,2,1,3,0,0,81,0,0,0,0,10,34,6,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
