Depth.Correct,DepthCM.Vania,Depth.predict,_2.5,_10,Age.bchron062722B,_90,_975,Abies,A.rubrum,A.sacch,A.sac,A.rugosa,A.crispa,Betula,Carya,Castanea,C.stolon,C.florida,Corylus,Fagus,F.nigra,F.penn,Ilex,J.ciner,J.nigra,Juniper,Erica,Empetrum,Vaccinium,Andromeda,Rhododen,Larix,Liquidam,Magnolia,Morus,Myrica,Nyssa,Os/Ca,Picea,P.diplo,P.strobu,Pinus,Platanus,Populus,Prunus,Quercus,Salix,Sambucus,S.argen,Spirea,Tilia,Tsuga,Ulmus,Viburnum,Sambucus nigra,Vitis,Achilea,Ambrosia,Artemisi,Aster,Bidens,Chenopod,Petalosp,Hum.lu,Fabae.ud,Iva anua,Ran.ud,Thalictr,Rosa,Rumex,Urtica,Xanthium,Poaceae,San. officinalis,Apiaceae,Brasenia,Botrich,Botrioc,Cyperace,Dryopter,Equ,Glomus,Lyc.an,Lyc clav,Lyc.lu,Lyc.sel,Polypodi,T.latif,Nuphar,Nym,Nym.cell,Osmunda,Pediastr,Isoetes,Potamoge,Pteridiu,Tracheids,Sagitari,Sel.de-t,Sphagnum,sp.tri,Sporomie,Gelasino,Unknoun
1033,1033,1033,8457.95,9253.75,9579,9833,10178.3,0,3,0,1,0,0,29,2,0,0,0,1,11,0,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,4,69,2,2,0,0,190,0,0,0,0,2,88,6,0,0,0,0,4,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1052,1052,1052,9171.725,9894,10082,10196,10383,0,3,2,5,9,0,36,1,0,0,0,1,1,1,16,9,1,0,0,0,0,0,0,0,0,0,0,2,0,0,19,0,15,83,4,3,0,0,163,1,0,0,0,2,112,8,0,0,0,0,2,3,0,0,1,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0
1062,1062,1062,10409,10559,10651.5,10757,11204.3,0,1,0,3,5,1,34,3,0,0,0,0,4,0,12,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,21,92,5,6,0,0,169,1,0,0,0,0,64,6,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,1,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
1069,1069,1069,10505.975,10712,10839.5,11048.5,11608.2,0,0,2,1,4,1,31,2,0,0,0,1,2,1,13,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,22,7,29,101,25,1,1,0,180,1,0,0,0,3,63,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
1076,1076,1076,10581.95,10846.75,11013.5,11255,11847,0,2,0,0,17,0,39,2,1,0,0,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,24,130,3,3,0,0,163,0,0,0,0,0,87,10,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,1
1083,1083,1083,10663.85,10979.25,11192.5,11456.25,12016,2,1,1,3,6,4,27,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,9,199,16,4,1,0,123,0,0,0,0,0,71,12,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
1090,1090,1090,10731,11129,11376.5,11631.25,12123.025,0,0,0,3,11,1,30,1,0,0,0,3,0,3,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22,3,33,150,25,1,0,0,165,0,0,0,0,2,35,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
1097,1097,1097,10802.825,11274.75,11549,11781.5,12272.025,4,1,0,3,6,0,27,1,0,1,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,1,72,132,16,0,1,0,122,0,0,0,0,0,21,9,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,0,0
1104,1104,1104,10914,11472.5,11717.5,11931.25,12333.05,4,2,1,0,10,7,34,0,0,0,0,3,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12,3,21,151,27,1,0,0,126,0,0,0,0,0,15,5,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,1,0,0,0
1111,1111,1111,11058.975,11643.75,11889.5,12083,12436.1,4,0,1,1,3,1,28,0,0,0,0,2,0,0,3,0,0,0,8,0,1,0,0,0,0,1,0,0,0,0,19,3,59,243,27,0,0,0,106,1,0,0,0,0,9,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,27,0,0,0,0,0,0,1,0,0,0
1118,1118,1118,11208,11847,12069.5,12221.25,12511.1,16,0,0,2,11,3,76,2,1,0,0,1,1,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,9,10,70,261,8,0,1,0,44,2,0,0,0,0,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,2,1,0,1,0,0,2,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0
1125,1125,1125,11504.95,12076.75,12243.5,12373.25,12618.05,21,0,1,2,5,10,87,1,0,0,0,2,10,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16,18,99,68,4,4,0,0,85,1,0,0,0,1,43,7,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,31,0,0,0,0,2,3,0,0,3,0,0,1,0,2,0,4,0,0,0,0,0,0,1,0,0,0
1132,1132,1132,12176.95,12380,12476,12577,12802.05,27,0,0,0,13,18,130,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,65,174,47,13,0,1,0,7,1,0,0,0,0,10,6,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,13,0,0,0,1,0,1,0,0,0,0
1143,1143,1143,12320.875,12579.75,12737.5,12955.25,13519.775,49,0,0,0,25,22,65,0,0,1,0,1,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,95,152,45,2,0,0,0,13,1,0,0,0,0,5,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,4,3,0,0,0,1,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
1158,1158,1158,12403.925,12747.25,12999.5,13310,14179.075,29,0,0,2,7,19,16,4,0,0,0,2,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,37,291,6,3,1,2,0,24,0,0,0,0,0,2,2,0,0,0,0,2,4,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0
1195,1195,1195,12582.95,13136.75,13576,14084.75,15483,18,0,0,2,1,2,24,2,0,0,0,3,3,3,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,19,94,110,2,1,1,0,0,35,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1210,1210,1210,12666,13309.5,13803.5,14399,15861.4,1,0,0,2,11,5,6,2,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,162,74,1,0,0,0,1,11,5,0,0,0,0,0,2,0,0,0,0,1,8,3,0,1,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,37,12,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0
